medicine_id,name,batch,expiry,quantity
MED61,Paracetamol,B11,2026-02-24,193
MED62,Paracetamol,B12,2025-09-04,25
MED63,Paracetamol,B13,2026-06-24,14
MED64,Paracetamol,B14,2025-12-30,11
MED65,Paracetamol,B15,2026-10-19,78
MED67,Paracetamol,B17,2025-07-12,29
MED68,Paracetamol,B18,2026-09-24,119
MED69,Paracetamol,B19,2026-02-21,127
MED70,Paracetamol,B20,2026-10-15,21
MED71,Paracetamol,B21,2026-06-25,74
MED73,Paracetamol,B23,2026-08-23,13
MED74,Paracetamol,B24,2026-10-02,197
MED75,Paracetamol,B25,2026-09-07,189
MED76,Paracetamol,B26,2025-12-22,29
MED77,Paracetamol,B27,2025-12-03,198
MED78,Paracetamol,B28,2026-06-29,63
MED79,Paracetamol,B29,2026-11-12,155
MED80,Paracetamol,B30,2025-08-15,26
MED81,Paracetamol,B31,2026-03-19,19
MED83,Paracetamol,B33,2025-08-03,191
MED84,Paracetamol,B34,2025-12-31,125
MED85,Paracetamol,B35,2026-04-26,78
MED86,Paracetamol,B36,2025-12-27,62
MED87,Paracetamol,B37,2026-04-19,23
MED88,Paracetamol,B38,2025-12-13,118
MED89,Paracetamol,B39,2026-05-18,101
MED90,Paracetamol,B40,2026-02-22,148
MED91,Paracetamol,B41,2025-09-22,103
MED92,Paracetamol,B42,2025-09-04,59
MED94,Paracetamol,B44,2026-07-05,103
MED95,Paracetamol,B45,2026-04-18,51
MED96,Paracetamol,B46,2026-11-12,81
MED97,Paracetamol,B47,2025-08-13,164
MED98,Paracetamol,B48,2026-02-17,144
MED99,Paracetamol,B49,2026-06-01,164
MED100,Paracetamol,B0,2026-02-25,81
MED101,Paracetamol,B1,2025-08-23,96
MED102,Paracetamol,B2,2026-08-05,195
MED103,Paracetamol,B3,2025-12-05,140
MED104,Paracetamol,B4,2025-09-20,166
MED105,Paracetamol,B5,2025-11-18,34
MED106,Paracetamol,B6,2026-01-22,21
MED107,Paracetamol,B7,2025-09-08,109
MED108,Paracetamol,B8,2026-07-16,182
MED109,Paracetamol,B9,2026-01-29,82
MED110,Paracetamol,B10,2026-07-23,108
MED111,Paracetamol,B11,2025-11-16,104
MED113,Paracetamol,B13,2025-08-02,93
MED114,Paracetamol,B14,2025-08-22,155
MED115,Paracetamol,B15,2025-07-22,169
MED117,Paracetamol,B17,2026-10-27,144
MED118,Paracetamol,B18,2026-04-21,73
MED119,Paracetamol,B19,2025-08-15,47
MED120,Paracetamol,B20,2025-10-30,145
MED121,Paracetamol,B21,2025-12-31,158
MED122,Paracetamol,B22,2026-07-26,79
MED123,Paracetamol,B23,2025-09-30,88
MED124,Paracetamol,B24,2026-10-29,85
MED125,Paracetamol,B25,2026-10-11,48
MED126,Paracetamol,B26,2026-06-17,132
MED127,Paracetamol,B27,2026-04-23,25
MED128,Paracetamol,B28,2025-09-15,20
MED129,Paracetamol,B29,2026-05-07,61
MED130,Paracetamol,B30,2025-11-28,187
MED131,Paracetamol,B31,2026-08-08,53
MED132,Paracetamol,B32,2026-07-14,153
MED133,Paracetamol,B33,2026-04-21,164
MED134,Paracetamol,B34,2025-11-21,50
MED136,Paracetamol,B36,2026-06-05,16
MED137,Paracetamol,B37,2026-06-14,131
MED138,Paracetamol,B38,2025-08-06,162
MED139,Paracetamol,B39,2026-06-07,163
MED140,Paracetamol,B40,2026-02-01,30
MED141,Paracetamol,B41,2026-04-04,84
MED142,Paracetamol,B42,2026-01-21,134
MED143,Paracetamol,B43,2025-09-21,137
MED144,Paracetamol,B44,2026-04-02,71
MED146,Paracetamol,B46,2026-05-12,112
MED147,Paracetamol,B47,2026-09-05,11
MED148,Paracetamol,B48,2025-10-04,144
MED149,Paracetamol,B49,2026-01-10,88
MED150,Paracetamol,B0,2026-02-15,179
MED151,Paracetamol,B1,2026-05-27,182
MED152,Paracetamol,B2,2025-10-23,125
MED153,Paracetamol,B3,2026-06-21,69
MED154,Paracetamol,B4,2025-10-15,163
MED155,Paracetamol,B5,2025-09-28,28
MED156,Paracetamol,B6,2026-09-20,14
MED157,Paracetamol,B7,2025-09-16,157
MED158,Paracetamol,B8,2025-12-22,91
MED159,Paracetamol,B9,2026-05-24,29
MED160,Paracetamol,B10,2026-05-03,7
MED161,Paracetamol,B11,2026-11-18,63
MED162,Paracetamol,B12,2025-08-25,92
MED163,Paracetamol,B13,2025-12-15,194
MED164,Paracetamol,B14,2025-11-03,56
MED165,Paracetamol,B15,2026-08-30,4
MED166,Paracetamol,B16,2025-08-19,111
MED167,Paracetamol,B17,2025-10-08,147
MED168,Paracetamol,B18,2025-11-19,98
MED169,Paracetamol,B19,2026-01-17,65
MED170,Paracetamol,B20,2026-04-15,161
MED171,Paracetamol,B21,2025-12-22,29
MED172,Paracetamol,B22,2026-03-15,46
MED173,Paracetamol,B23,2025-08-04,145
MED174,Paracetamol,B24,2026-06-20,108
MED175,Paracetamol,B25,2026-08-15,41
MED176,Paracetamol,B26,2025-09-30,4
MED177,Paracetamol,B27,2026-08-14,96
MED178,Paracetamol,B28,2026-07-17,159
MED180,Paracetamol,B30,2025-07-31,112
MED181,Paracetamol,B31,2026-02-12,59
MED182,Paracetamol,B32,2026-02-14,194
MED183,Paracetamol,B33,2026-03-06,46
MED184,Paracetamol,B34,2026-08-11,2
MED186,Paracetamol,B36,2025-08-16,31
MED187,Paracetamol,B37,2025-11-20,52
MED188,Paracetamol,B38,2026-09-14,16
MED189,Paracetamol,B39,2025-07-14,21
MED190,Paracetamol,B40,2025-09-15,14
MED191,Paracetamol,B41,2025-11-14,186
MED193,Paracetamol,B43,2026-03-17,142
MED194,Paracetamol,B44,2026-03-31,194
MED195,Paracetamol,B45,2026-05-11,36
MED196,Paracetamol,B46,2025-08-12,19
MED197,Paracetamol,B47,2025-10-18,93
MED198,Paracetamol,B48,2026-11-09,84
MED199,Paracetamol,B49,2026-08-05,141
MED200,Paracetamol,B0,2026-03-07,33
MED201,Paracetamol,B1,2026-07-11,35
MED202,Paracetamol,B2,2026-08-19,69
MED203,Paracetamol,B3,2026-09-19,13
MED204,Paracetamol,B4,2026-07-24,97
MED205,Paracetamol,B5,2025-09-02,87
MED206,Paracetamol,B6,2026-06-29,100
MED208,Paracetamol,B8,2026-08-07,175
MED209,Paracetamol,B9,2025-10-03,56
MED210,Paracetamol,B10,2026-05-15,59
MED211,Paracetamol,B11,2025-11-28,36
MED212,Paracetamol,B12,2026-08-06,49
MED213,Paracetamol,B13,2025-10-08,89
MED214,Paracetamol,B14,2026-04-16,139
MED215,Paracetamol,B15,2026-09-02,8
MED216,Paracetamol,B16,2026-04-06,45
MED217,Paracetamol,B17,2026-07-15,121
MED219,Paracetamol,B19,2026-07-03,70
MED220,Paracetamol,B20,2026-04-10,119
MED221,Paracetamol,B21,2025-07-24,18
MED222,Paracetamol,B22,2026-05-03,13
MED223,Paracetamol,B23,2025-09-20,148
MED224,Paracetamol,B24,2026-03-25,40
MED225,Paracetamol,B25,2026-04-28,52
MED226,Paracetamol,B26,2026-07-17,38
MED227,Paracetamol,B27,2025-07-23,63
MED228,Paracetamol,B28,2025-09-04,141
MED230,Paracetamol,B30,2025-08-20,144
MED231,Paracetamol,B31,2026-07-15,11
MED232,Paracetamol,B32,2026-10-21,154
MED233,Paracetamol,B33,2026-03-27,69
MED234,Paracetamol,B34,2026-02-13,28
MED235,Paracetamol,B35,2025-11-11,152
MED236,Paracetamol,B36,2025-07-12,146
MED237,Paracetamol,B37,2026-05-02,52
MED238,Paracetamol,B38,2025-09-13,164
MED239,Paracetamol,B39,2025-08-21,190
MED240,Paracetamol,B40,2025-08-20,163
MED241,Paracetamol,B41,2026-10-03,90
MED242,Paracetamol,B42,2026-06-15,13
MED243,Paracetamol,B43,2026-10-05,199
MED244,Paracetamol,B44,2026-09-11,159
MED245,Paracetamol,B45,2026-01-08,126
MED246,Paracetamol,B46,2025-08-15,169
MED247,Paracetamol,B47,2025-08-17,87
MED248,Paracetamol,B48,2026-03-03,152
MED249,Paracetamol,B49,2026-09-02,141
MED250,Paracetamol,B0,2025-08-10,72
MED251,Paracetamol,B1,2026-09-19,105
MED252,Paracetamol,B2,2026-08-04,55
MED253,Paracetamol,B3,2025-11-23,61
MED255,Paracetamol,B5,2026-07-15,65
MED256,Paracetamol,B6,2025-10-19,101
MED257,Paracetamol,B7,2025-11-10,197
MED258,Paracetamol,B8,2026-09-17,152
MED259,Paracetamol,B9,2026-06-21,180
MED260,Paracetamol,B10,2026-02-25,180
MED261,Paracetamol,B11,2026-04-20,187
MED262,Paracetamol,B12,2026-06-06,183
MED263,Paracetamol,B13,2026-06-14,35
MED264,Paracetamol,B14,2026-01-05,86
MED265,Paracetamol,B15,2026-05-12,23
MED266,Paracetamol,B16,2026-08-17,61
MED267,Paracetamol,B17,2025-10-01,121
MED268,Paracetamol,B18,2026-05-14,130
MED269,Paracetamol,B19,2026-07-17,164
MED271,Paracetamol,B21,2025-11-29,40
MED274,Paracetamol,B24,2026-09-01,2
MED275,Paracetamol,B25,2025-11-26,97
MED276,Paracetamol,B26,2026-06-08,125
MED277,Paracetamol,B27,2025-09-22,85
MED278,Paracetamol,B28,2025-12-06,176
MED279,Paracetamol,B29,2026-02-24,5
MED280,Paracetamol,B30,2026-03-14,61
MED282,Paracetamol,B32,2026-08-05,47
MED283,Paracetamol,B33,2026-10-28,122
MED284,Paracetamol,B34,2025-11-20,176
MED285,Paracetamol,B35,2025-11-23,109
MED286,Paracetamol,B36,2025-08-06,170
MED289,Paracetamol,B39,2026-05-08,79
MED290,Paracetamol,B40,2026-03-04,195
MED291,Paracetamol,B41,2026-07-02,107
MED292,Paracetamol,B42,2025-10-05,39
MED294,Paracetamol,B44,2026-08-22,148
MED295,Paracetamol,B45,2026-06-16,193
MED296,Paracetamol,B46,2026-05-23,23
MED297,Paracetamol,B47,2026-06-22,42
MED298,Paracetamol,B48,2025-12-24,26
MED299,Paracetamol,B49,2026-07-19,144
MED300,Paracetamol,B0,2026-10-29,116
MED302,Paracetamol,B2,2026-08-24,36
MED303,Paracetamol,B3,2025-10-09,16
MED305,Paracetamol,B5,2025-09-28,162
MED306,Paracetamol,B6,2026-06-20,61
MED307,Paracetamol,B7,2026-02-07,61
MED308,Paracetamol,B8,2026-05-09,165
MED309,Paracetamol,B9,2026-01-27,24
MED311,Paracetamol,B11,2025-10-02,190
MED312,Paracetamol,B12,2026-06-16,178
MED313,Paracetamol,B13,2026-08-13,1
MED315,Paracetamol,B15,2026-07-21,9
MED316,Paracetamol,B16,2025-12-16,132
MED317,Paracetamol,B17,2026-10-06,159
MED318,Paracetamol,B18,2026-03-23,199
MED319,Paracetamol,B19,2026-05-13,168
MED321,Paracetamol,B21,2026-05-26,29
MED323,Paracetamol,B23,2026-05-22,69
MED324,Paracetamol,B24,2026-03-17,125
MED325,Paracetamol,B25,2026-01-31,47
MED326,Paracetamol,B26,2026-06-19,121
MED327,Paracetamol,B27,2026-03-30,53
MED328,Paracetamol,B28,2026-07-25,65
MED329,Paracetamol,B29,2025-12-03,18
MED330,Paracetamol,B30,2026-05-18,168
MED331,Paracetamol,B31,2025-12-24,125
MED332,Paracetamol,B32,2026-05-15,144
MED333,Paracetamol,B33,2025-07-13,66
MED334,Paracetamol,B34,2026-08-27,163
MED335,Paracetamol,B35,2025-11-30,114
MED336,Paracetamol,B36,2026-03-17,105
MED337,Paracetamol,B37,2026-05-08,48
MED338,Paracetamol,B38,2025-08-14,191
MED339,Paracetamol,B39,2026-04-23,180
MED340,Paracetamol,B40,2026-08-07,51
MED341,Paracetamol,B41,2025-08-22,114
MED342,Paracetamol,B42,2026-07-21,184
MED343,Paracetamol,B43,2025-10-07,49
MED344,Paracetamol,B44,2026-08-10,2
MED346,Paracetamol,B46,2025-07-09,119
MED347,Paracetamol,B47,2026-10-04,90
MED348,Paracetamol,B48,2026-01-01,58
MED349,Paracetamol,B49,2026-08-24,109
MED350,Paracetamol,B0,2026-04-19,159
MED351,Paracetamol,B1,2026-09-09,117
MED352,Paracetamol,B2,2025-09-22,156
MED353,Paracetamol,B3,2025-08-19,37
MED355,Paracetamol,B5,2025-10-24,135
MED356,Paracetamol,B6,2026-02-04,94
MED357,Paracetamol,B7,2026-07-04,200
MED358,Paracetamol,B8,2026-10-16,159
MED359,Paracetamol,B9,2025-09-09,15
MED360,Paracetamol,B10,2026-07-22,9
MED361,Paracetamol,B11,2026-10-07,78
MED362,Paracetamol,B12,2026-06-21,129
MED363,Paracetamol,B13,2026-09-23,87
MED364,Paracetamol,B14,2025-11-28,63
MED365,Paracetamol,B15,2025-07-29,141
MED366,Paracetamol,B16,2025-11-10,135
MED367,Paracetamol,B17,2026-11-04,161
MED368,Paracetamol,B18,2026-06-02,161
MED369,Paracetamol,B19,2026-05-25,81
MED370,Paracetamol,B20,2025-09-23,22
MED371,Paracetamol,B21,2026-02-19,191
MED372,Paracetamol,B22,2026-09-06,43
MED373,Paracetamol,B23,2025-07-30,155
MED374,Paracetamol,B24,2026-04-14,8
MED375,Paracetamol,B25,2026-07-19,14
MED376,Paracetamol,B26,2026-05-18,64
MED378,Paracetamol,B28,2026-09-19,137
MED379,Paracetamol,B29,2026-07-08,77
MED380,Paracetamol,B30,2025-12-12,22
MED381,Paracetamol,B31,2025-09-10,43
MED382,Paracetamol,B32,2026-09-28,21
MED383,Paracetamol,B33,2026-01-19,106
MED384,Paracetamol,B34,2025-07-27,87
MED386,Paracetamol,B36,2025-08-31,156
MED387,Paracetamol,B37,2025-12-31,186
MED388,Paracetamol,B38,2025-10-25,137
MED389,Paracetamol,B39,2025-08-19,6
MED390,Paracetamol,B40,2026-02-17,69
MED391,Paracetamol,B41,2026-01-28,2
MED392,Paracetamol,B42,2025-10-03,196
MED394,Paracetamol,B44,2026-08-16,197
MED395,Paracetamol,B45,2026-08-02,56
MED396,Paracetamol,B46,2026-07-03,82
MED397,Paracetamol,B47,2025-10-05,147
MED398,Paracetamol,B48,2026-06-24,85
MED399,Paracetamol,B49,2026-10-18,165
MED400,Paracetamol,B0,2026-07-31,51
MED401,Paracetamol,B1,2025-08-16,54
MED402,Paracetamol,B2,2025-09-28,188
MED403,Paracetamol,B3,2026-09-02,190
MED404,Paracetamol,B4,2026-10-10,79
MED405,Paracetamol,B5,2026-03-08,122
MED406,Paracetamol,B6,2026-04-15,28
MED407,Paracetamol,B7,2025-08-31,43
MED408,Paracetamol,B8,2025-09-15,65
MED409,Paracetamol,B9,2026-06-30,5
MED410,Paracetamol,B10,2025-08-29,140
MED411,Paracetamol,B11,2026-04-09,69
MED412,Paracetamol,B12,2026-10-30,70
MED415,Paracetamol,B15,2026-06-26,36
MED416,Paracetamol,B16,2026-04-06,63
MED417,Paracetamol,B17,2026-03-30,37
MED418,Paracetamol,B18,2026-04-20,84
MED419,Paracetamol,B19,2025-10-08,43
MED420,Paracetamol,B20,2025-12-11,51
MED422,Paracetamol,B22,2026-03-19,98
MED423,Paracetamol,B23,2026-04-27,112
MED424,Paracetamol,B24,2025-11-06,78
MED425,Paracetamol,B25,2026-09-20,157
MED426,Paracetamol,B26,2026-08-25,152
MED428,Paracetamol,B28,2026-06-15,89
MED429,Paracetamol,B29,2026-09-07,64
MED430,Paracetamol,B30,2026-11-17,66
MED431,Paracetamol,B31,2026-07-12,118
MED432,Paracetamol,B32,2026-11-04,135
MED433,Paracetamol,B33,2026-05-19,122
MED434,Paracetamol,B34,2026-08-22,99
MED435,Paracetamol,B35,2026-02-11,5
MED436,Paracetamol,B36,2026-04-28,46
MED437,Paracetamol,B37,2025-10-26,46
MED438,Paracetamol,B38,2026-10-09,45
MED439,Paracetamol,B39,2025-07-17,45
MED440,Paracetamol,B40,2025-10-10,68
MED441,Paracetamol,B41,2026-09-04,61
MED442,Paracetamol,B42,2025-11-30,22
MED443,Paracetamol,B43,2026-08-23,152
MED444,Paracetamol,B44,2025-10-27,50
MED445,Paracetamol,B45,2026-08-02,90
MED446,Paracetamol,B46,2026-01-08,18
MED447,Paracetamol,B47,2026-08-10,72
MED448,Paracetamol,B48,2026-09-15,49
MED449,Paracetamol,B49,2026-03-07,160
MED450,Paracetamol,B0,2025-07-09,54
MED451,Paracetamol,B1,2026-06-20,167
MED452,Paracetamol,B2,2026-08-23,129
MED453,Paracetamol,B3,2026-06-07,116
MED454,Paracetamol,B4,2026-11-01,189
MED455,Paracetamol,B5,2026-04-03,176
MED456,Paracetamol,B6,2026-03-07,15
MED457,Paracetamol,B7,2025-10-03,13
MED458,Paracetamol,B8,2026-03-05,13
MED459,Paracetamol,B9,2025-11-25,39
MED460,Paracetamol,B10,2026-03-26,137
MED461,Paracetamol,B11,2026-10-13,63
MED462,Paracetamol,B12,2026-08-11,92
MED463,Paracetamol,B13,2025-07-07,36
MED464,Paracetamol,B14,2025-07-23,184
MED465,Paracetamol,B15,2026-04-18,127
MED466,Paracetamol,B16,2025-10-10,36
MED467,Paracetamol,B17,2026-02-24,174
MED468,Paracetamol,B18,2026-03-27,18
MED470,Paracetamol,B20,2025-09-01,19
MED471,Paracetamol,B21,2025-10-06,57
MED472,Paracetamol,B22,2026-08-28,41
MED473,Paracetamol,B23,2025-10-20,164
MED474,Paracetamol,B24,2025-12-13,194
MED475,Paracetamol,B25,2026-10-04,33
MED476,Paracetamol,B26,2026-08-09,194
MED477,Paracetamol,B27,2025-10-08,50
MED478,Paracetamol,B28,2025-09-11,178
MED479,Paracetamol,B29,2026-07-17,187
MED480,Paracetamol,B30,2025-08-23,92
MED481,Paracetamol,B31,2026-05-02,19
MED482,Paracetamol,B32,2026-11-14,146
MED483,Paracetamol,B33,2025-10-06,49
MED484,Paracetamol,B34,2026-02-16,156
MED485,Paracetamol,B35,2025-09-21,196
MED486,Paracetamol,B36,2025-12-07,16
MED487,Paracetamol,B37,2026-09-19,86
MED489,Paracetamol,B39,2025-07-30,86
MED490,Paracetamol,B40,2026-01-04,113
MED491,Paracetamol,B41,2026-01-05,148
MED492,Paracetamol,B42,2026-02-07,126
MED493,Paracetamol,B43,2025-11-29,12
MED494,Paracetamol,B44,2025-11-07,167
MED496,Paracetamol,B46,2026-06-12,190
MED498,Paracetamol,B48,2026-09-12,138
MED499,Paracetamol,B49,2025-08-16,15
MED500,Paracetamol,B0,2026-05-19,89
MED501,Paracetamol,B1,2025-12-07,64
MED502,Paracetamol,B2,2026-08-25,6
MED503,Paracetamol,B3,2026-07-23,184
MED504,Paracetamol,B4,2026-06-28,43
MED505,Paracetamol,B5,2025-12-28,179
MED506,Paracetamol,B6,2025-10-23,160
MED507,Paracetamol,B7,2025-08-10,6
MED508,Paracetamol,B8,2025-12-28,68
MED509,Paracetamol,B9,2026-08-13,142
MED510,Paracetamol,B10,2025-09-30,172
MED511,Paracetamol,B11,2026-09-12,64
MED512,Paracetamol,B12,2026-11-11,89
MED513,Paracetamol,B13,2025-08-21,190
MED514,Paracetamol,B14,2026-11-15,21
MED515,Paracetamol,B15,2025-12-30,99
MED516,Paracetamol,B16,2026-06-10,150
MED517,Paracetamol,B17,2026-06-23,80
MED519,Paracetamol,B19,2026-01-29,43
MED520,Paracetamol,B20,2026-08-14,40
MED521,Paracetamol,B21,2026-07-30,95
MED522,Paracetamol,B22,2026-09-13,37
MED523,Paracetamol,B23,2026-07-20,92
MED525,Paracetamol,B25,2026-04-17,38
MED526,Paracetamol,B26,2026-08-13,19
MED527,Paracetamol,B27,2026-04-11,7
MED529,Paracetamol,B29,2025-08-16,52
MED531,Paracetamol,B31,2025-08-15,67
MED532,Paracetamol,B32,2026-08-06,149
MED533,Paracetamol,B33,2026-10-22,56
MED534,Paracetamol,B34,2026-07-21,93
MED535,Paracetamol,B35,2026-07-28,18
MED536,Paracetamol,B36,2026-08-09,24
MED538,Paracetamol,B38,2026-08-31,148
MED539,Paracetamol,B39,2026-10-09,56
MED541,Paracetamol,B41,2025-12-23,172
MED542,Paracetamol,B42,2026-04-14,166
MED543,Paracetamol,B43,2026-03-09,179
MED544,Paracetamol,B44,2026-07-23,35
MED545,Paracetamol,B45,2026-03-29,194
MED546,Paracetamol,B46,2026-10-16,76
MED548,Paracetamol,B48,2026-03-13,148
MED549,Paracetamol,B49,2026-05-07,27
MED550,Paracetamol,B0,2026-06-06,1
MED551,Paracetamol,B1,2025-08-25,40
MED552,Paracetamol,B2,2026-02-07,197
MED553,Paracetamol,B3,2026-10-03,13
MED554,Paracetamol,B4,2026-11-08,42
MED555,Paracetamol,B5,2026-01-17,37
MED556,Paracetamol,B6,2026-02-07,27
MED557,Paracetamol,B7,2025-11-01,46
MED558,Paracetamol,B8,2026-09-29,136
MED559,Paracetamol,B9,2026-10-23,176
MED560,Paracetamol,B10,2026-09-16,47
MED561,Paracetamol,B11,2026-05-02,119
MED562,Paracetamol,B12,2026-11-03,170
MED563,Paracetamol,B13,2025-08-27,185
MED565,Paracetamol,B15,2026-08-24,46
MED566,Paracetamol,B16,2026-06-23,181
MED567,Paracetamol,B17,2026-05-28,89
MED568,Paracetamol,B18,2025-12-09,160
MED569,Paracetamol,B19,2026-05-18,147
MED570,Paracetamol,B20,2026-06-07,145
MED572,Paracetamol,B22,2025-11-02,4
MED573,Paracetamol,B23,2026-08-31,106
MED574,Paracetamol,B24,2026-06-20,116
MED575,Paracetamol,B25,2026-06-23,111
MED576,Paracetamol,B26,2026-04-12,21
MED578,Paracetamol,B28,2026-11-07,61
MED579,Paracetamol,B29,2026-06-22,200
MED580,Paracetamol,B30,2026-07-08,76
MED581,Paracetamol,B31,2025-08-08,102
MED582,Paracetamol,B32,2026-01-29,133
MED583,Paracetamol,B33,2026-03-28,193
MED584,Paracetamol,B34,2025-12-23,99
MED585,Paracetamol,B35,2026-09-04,16
MED586,Paracetamol,B36,2025-08-13,200
MED587,Paracetamol,B37,2026-02-17,28
MED588,Paracetamol,B38,2026-03-01,135
MED589,Paracetamol,B39,2026-02-14,71
MED590,Paracetamol,B40,2025-07-12,177
MED591,Paracetamol,B41,2026-08-05,112
MED592,Paracetamol,B42,2025-08-18,172
MED593,Paracetamol,B43,2026-10-15,76
MED594,Paracetamol,B44,2026-05-10,196
MED595,Paracetamol,B45,2026-07-28,175
MED596,Paracetamol,B46,2026-09-07,70
MED597,Paracetamol,B47,2025-11-12,66
MED598,Paracetamol,B48,2025-08-25,27
MED599,Paracetamol,B49,2026-01-29,122
MED600,Paracetamol,B0,2025-09-08,176
MED601,Paracetamol,B1,2026-02-04,155
MED602,Paracetamol,B2,2026-02-22,27
MED603,Paracetamol,B3,2026-06-28,179
MED604,Paracetamol,B4,2026-09-30,82
MED605,Paracetamol,B5,2026-01-09,96
MED606,Paracetamol,B6,2025-08-27,199
MED607,Paracetamol,B7,2026-01-11,172
MED608,Paracetamol,B8,2026-04-16,197
MED609,Paracetamol,B9,2026-02-18,89
MED610,Paracetamol,B10,2025-09-18,110
MED611,Paracetamol,B11,2025-10-06,69
MED612,Paracetamol,B12,2026-01-22,54
MED613,Paracetamol,B13,2026-05-10,36
MED614,Paracetamol,B14,2025-10-14,126
MED615,Paracetamol,B15,2025-08-12,36
MED616,Paracetamol,B16,2026-08-16,148
MED617,Paracetamol,B17,2025-12-01,107
MED618,Paracetamol,B18,2025-09-25,172
MED619,Paracetamol,B19,2025-08-20,189
MED620,Paracetamol,B20,2025-08-01,110
MED621,Paracetamol,B21,2026-03-31,21
MED622,Paracetamol,B22,2025-09-15,174
MED623,Paracetamol,B23,2025-08-29,186
MED624,Paracetamol,B24,2026-11-02,46
MED625,Paracetamol,B25,2025-12-06,198
MED626,Paracetamol,B26,2025-08-05,31
MED627,Paracetamol,B27,2025-07-31,4
MED628,Paracetamol,B28,2026-01-15,99
MED629,Paracetamol,B29,2025-11-05,177
MED630,Paracetamol,B30,2026-11-01,175
MED631,Paracetamol,B31,2026-11-08,48
MED632,Paracetamol,B32,2025-12-26,87
MED633,Paracetamol,B33,2025-11-17,3
MED634,Paracetamol,B34,2025-09-26,93
MED635,Paracetamol,B35,2026-02-24,157
MED636,Paracetamol,B36,2025-10-23,85
MED637,Paracetamol,B37,2026-08-06,131
MED638,Paracetamol,B38,2026-10-24,154
MED639,Paracetamol,B39,2025-10-01,34
MED640,Paracetamol,B40,2026-09-27,77
MED641,Paracetamol,B41,2026-11-09,62
MED642,Paracetamol,B42,2026-08-03,91
MED643,Paracetamol,B43,2026-07-07,133
MED644,Paracetamol,B44,2026-02-16,142
MED645,Paracetamol,B45,2025-08-12,159
MED646,Paracetamol,B46,2026-04-05,2
MED647,Paracetamol,B47,2026-04-06,135
MED649,Paracetamol,B49,2026-02-15,194
MED650,Paracetamol,B0,2026-08-01,90
MED651,Paracetamol,B1,2026-09-05,187
MED652,Paracetamol,B2,2025-10-22,182
MED653,Paracetamol,B3,2026-04-20,77
MED656,Paracetamol,B6,2026-05-24,94
MED657,Paracetamol,B7,2026-01-19,46
MED658,Paracetamol,B8,2026-07-03,26
MED659,Paracetamol,B9,2025-12-01,176
MED660,Paracetamol,B10,2026-07-18,149
MED661,Paracetamol,B11,2026-10-27,154
MED662,Paracetamol,B12,2026-10-06,150
MED663,Paracetamol,B13,2026-05-08,147
MED664,Paracetamol,B14,2025-08-29,196
MED665,Paracetamol,B15,2026-05-17,59
MED666,Paracetamol,B16,2025-11-21,127
